Jour;Note;Type;Lecture
09/09/2024;7.0;Cours;5.0
10/09/2024;6.5;Cours;153.0
11/09/2024;7.0;Cours;207.0
12/09/2024;7.0;Cours/Week-end;75.0
13/09/2024;7.5;Week-end;50.0
14/09/2024;7.5;Week-end;5.0
15/09/2024;8.0;Week-end;60.0
16/09/2024;6.5;Cours;35.0
17/09/2024;7.0;Cours;95.0
18/09/2024;7.5;Cours;30.0
19/09/2024;7.0;Cours;75.0
20/09/2024;6.5;Cours/Week-end;50.0
21/09/2024;6.5;Week-end;138.0
22/09/2024;8.5;Week-end;95.0
23/09/2024;7.5;Week-end;45.0
24/09/2024;7.0;Cours;20.0
25/09/2024;7.0;Cours;25.0
26/09/2024;7.0;Cours;60.0
27/09/2024;6.0;Cours/Week-end;0.0
28/09/2024;7.5;Week-end;48.0
29/09/2024;6.5;Week-end;110.0
30/09/2024;6.0;Cours;34.0
01/10/2024;7.0;Cours;83.0
02/10/2024;6.5;Cours;45.0
03/10/2024;7.0;Cours;23.0
04/10/2024;6.5;Cours/Week-end;28.0
05/10/2024;8.5;Week-end;28.0
06/10/2024;6.5;Week-end;0.0
07/10/2024;7.0;Cours;140.0
08/10/2024;6.5;Cours;15.0
09/10/2024;7.0;Cours;0.0
10/10/2024;6.5;Cours;35.0
11/10/2024;6.0;Cours/Week-end;0.0
12/10/2024;7.0;Week-end;75.0
13/10/2024;7.5;Week-end;80.0
14/10/2024;6.5;Cours;22.0
15/10/2024;6.5;Cours;0.0
16/10/2024;6.5;Cours;10.0
17/10/2024;6.0;Cours;0.0
18/10/2024;6.0;Cours/Week-end;10.0
19/10/2024;6.0;Week-end;0.0
20/10/2024;6.0;Week-end;0.0
21/10/2024;7.0;Cours;0.0
22/10/2024;6.5;Cours;0.0
23/10/2024;6.5;Cours;5.0
24/10/2024;7.0;Cours;0.0
25/10/2024;6.5;Cours/Week-end;0.0
26/10/2024;7.5;Vacances;0.0
27/10/2024;7.5;Vacances;22.0
28/10/2024;7.0;Vacances;83.0
29/10/2024;6.5;Vacances;10.0
30/10/2024;6.5;Vacances;23.0
31/10/2024;6.5;Vacances;10.0
01/11/2024;6.5;Vacances;0.0
02/11/2024;4.0;Vacances;0.0
03/11/2024;6.5;Vacances;0.0
04/11/2024;5.5;Cours;0.0
05/11/2024;6.0;Cours;5.0
06/11/2024;4.0;Cours;0.0
07/11/2024;6.5;Cours;2.0
08/11/2024;6.5;Cours/Week-end;0.0
09/11/2024;8.5;Week-end;0.0
10/11/2024;6.5;Week-end;0.0
11/11/2024;7.0;Week-end;40.0
12/11/2024;6.5;Alternance;0.0
13/11/2024;6.0;Alternance;0.0
14/11/2024;3.0;Alternance;0.0
15/11/2024;2.0;Alternance/Week-end;10.0
16/11/2024;7.5;Week-end;0.0
17/11/2024;8.0;Week-end;0.0
18/11/2024;7.5;Alternance;8.0
19/11/2024;6.0;Alternance;0.0
